Timestamp;Your Gender;Your Age;Are you currently....?;What is your annual income?;How often do you visit Starbucks?;How much time do you normally  spend during your visit?;Do you have Starbucks membership card?;What do you most frequently purchase at Starbucks?;On average, how much would you spend at Starbucks per visit?;How would you rate the quality of Starbucks compared to other brands (Coffee Bean, Old Town White Coffee..) to be:;How would you rate the price range at Starbucks?;How do you come to hear of promotions at Starbucks? Check all that apply.;Will you continue buying at Starbucks?
2019/10/01 2:42:02 PM GMT+8;Female;From 20 to 29;Self-employed;Less than RM25,000;Rarely;Between 30 minutes to 1 hour;No;Coffee;Zero;3;1;Social Media;
2019/10/01 2:45:52 PM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Rarely;Below 30 minutes;No;Cold drinks;Less than RM20;3;4;Social Media;
2019/10/01 3:08:53 PM GMT+8;Male;Below 20;Student;Less than RM25,000;Rarely;Below 30 minutes;Yes;Cold drinks;Less than RM20;3;3;Social Media;Yes
2019/10/01 3:12:11 PM GMT+8;Male;40 and above;Employed;RM100,000 - RM150,000;Rarely;Below 30 minutes;Yes;Coffee;Around RM20 - RM40;4;4;Social Media;
2019/10/01 3:16:32 PM GMT+8;Female;Below 20;Student;Less than RM25,000;Rarely;Below 30 minutes;No;Cold drinks;Less than RM20;3;3;Social Media;
2019/10/01 3:20:55 PM GMT+8;Female;40 and above;Housewife;Less than RM25,000;Monthly;Below 30 minutes;Yes;Cold drinks;;;;;
2019/10/01 3:21:16 PM GMT+8;Female;Below 20;Student;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;Around RM20 - RM40;3;3;Social Media;Yes
2019/10/01 3:57:29 PM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Rarely;Between 30 minutes to 1 hour;Yes;Coffee;Around RM20 - RM40;4;3;Social Media;
2019/10/01 4:02:35 PM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Monthly;Between 30 minutes to 1 hour;Yes;Coffee;Less than RM20;4;3;Starbucks Website/Apps;Yes
2019/10/01 4:03:17 PM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;;;;;
2019/10/01 4:03:57 PM GMT+8;Male;Below 20;Student;Less than RM25,000;Monthly;Between 30 minutes to 1 hour;Yes;Coffee;Less than RM20;5;5;Through friends and word of mouth;Yes
2019/10/01 4:05:59 PM GMT+8;Male;Below 20;Student;Less than RM25,000;Monthly;Below 30 minutes;No;Coffee;Less than RM20;3;3;Social Media;Yes
2019/10/01 6:19:46 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;No;Cold drinks;Less than RM20;4;3;Starbucks Website/Apps;
2019/10/01 8:32:12 PM GMT+8;Male;From 20 to 29;Student;Less than RM25,000;Rarely;Between 1 hour to 2 hours;Yes;Coffee;More than RM40;2;1;Social Media;Yes
2019/10/02 12:13:06 AM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;;;;;
2019/10/02 9:29:28 AM GMT+8;Male;From 30 to 39;Student;Less than RM25,000;Rarely;Between 30 minutes to 1 hour;No;Coffee;Around RM20 - RM40;3;3;Social Media;Yes
2019/10/02 7:14:30 PM GMT+8;Male;From 20 to 29;Employed;Less than RM25,000;Rarely;Between 30 minutes to 1 hour;Yes;Coffee;Less than RM20;4;2;Social Media;
2019/10/02 7:15:13 PM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;Zero;3;1;Social Media;No
2019/10/02 7:15:27 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Between 30 minutes to 1 hour;No;Coffee;Less than RM20;4;3;Through friends and word of mouth;No
2019/10/02 7:23:55 PM GMT+8;Female;From 20 to 29;Self-employed;RM25,000 - RM50,000;Monthly;Below 30 minutes;Yes;Coffee;;;;;
2019/10/02 7:27:56 PM GMT+8;Female;From 20 to 29;Self-employed;Less than RM25,000;Never;Below 30 minutes;No;Never;Zero;3;3;Never hear;No
2019/10/02 7:29:53 PM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;Zero;2;1;Starbucks Website/Apps;
2019/10/02 7:31:32 PM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Rarely;Between 30 minutes to 1 hour;Yes;Cold drinks;Less than RM20;3;3;Social Media;
2019/10/02 7:33:51 PM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;Less than RM20;4;3;Social Media;
2019/10/02 8:04:41 PM GMT+8;Male;From 20 to 29;Employed;RM25,000 - RM50,000;Weekly;Between 1 hour to 2 hours;Yes;Coffee;;;;;
2019/10/02 8:08:37 PM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Monthly;Below 30 minutes;Yes;Coffee;Less than RM20;4;2;Through friends and word of mouth;Yes
2019/10/02 8:29:35 PM GMT+8;Male;From 30 to 39;Employed;Less than RM25,000;Rarely;Below 30 minutes;Yes;Cold drinks;Less than RM20;3;2;Starbucks Website/Apps;
2019/10/02 8:31:21 PM GMT+8;Female;From 20 to 29;Housewife;RM50,000 - RM100,000;Rarely;Below 30 minutes;No;Coffee;;;;;
2019/10/02 8:35:08 PM GMT+8;Male;From 20 to 29;Employed;RM25,000 - RM50,000;Rarely;Below 30 minutes;Yes;Coffee;Less than RM20;3;3;Social Media;
2019/10/02 8:52:13 PM GMT+8;Male;From 20 to 29;Employed;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;Less than RM20;4;2;Social Media;
2019/10/02 9:19:50 PM GMT+8;Male;From 20 to 29;Employed;RM50,000 - RM100,000;Monthly;Between 30 minutes to 1 hour;Yes;Coffee;Around RM20 - RM40;4;2;Social Media;Yes
2019/10/03 7:19:36 AM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;Less than RM20;2;1;Social Media;
2019/10/03 7:21:08 AM GMT+8;Female;Below 20;Student;Less than RM25,000;Rarely;Below 30 minutes;No;Cold drinks;Less than RM20;2;2;Social Media;
2019/10/03 8:46:25 AM GMT+8;Female;From 20 to 29;Employed;RM50,000 - RM100,000;Monthly;More than 3 hours;Yes;Coffee;Around RM20 - RM40;3;2;Starbucks Website/Apps;No
2019/10/03 9:11:28 AM GMT+8;Male;From 20 to 29;Employed;Less than RM25,000;Never;Below 30 minutes;No;Never buy any;Zero;1;1;NA;No
2019/10/03 11:14:37 AM GMT+8;Male;From 20 to 29;Self-employed;RM50,000 - RM100,000;Rarely;Between 1 hour to 2 hours;Yes;Cold drinks;Less than RM20;5;5;Starbucks Website/Apps;Yes
